received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,2.0,30.0,0.0,0.0,0.0,6.0,6.0,202527.0,1.0,43.0,43.0,43.0,43.0,4,4,1,True,3241,True,False,peer32,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,19.0,3.0,3.0,3.0,3.0,3.0,,1.0,21.0,21.0,21.0,21.0,5,5,1,True,3263,True,False,peer33,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,9.0,3.0,3.0,3.0,3.0,3.0,,1.0,43.0,43.0,43.0,43.0,2,2,1,True,3257,True,False,peer34,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,26.0,3.0,3.0,3.0,3.0,3.0,,1.0,36.0,36.0,36.0,36.0,3,3,1,True,3306,True,False,peer35,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,1.0,2.0,3.0,3.0,14.0,6.0,6.0,6.0,6.0,6.0,,1.0,48.0,48.0,48.0,48.0,2,2,1,True,3250,True,False,peer36,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,14.0,3.0,3.0,3.0,3.0,3.0,,1.0,,,,,2,2,0,True,3247,True,False,peer37,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,1.0,2.0,2.0,3.0,31.0,5.0,5.0,5.0,5.0,5.0,,1.0,,,,,4,3,0,True,3243,True,False,peer38,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,,,,,6,6,0,True,3243,True,False,peer39,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,1.0,2.0,3.0,3.0,15.0,6.0,6.0,6.0,6.0,6.0,,1.0,42.0,42.0,42.0,42.0,3,3,1,True,3318,True,False,peer4,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,1.0,2.0,2.0,3.0,10.0,2.0,4.0,4.0,4.0,4.0,202528.0,1.0,35.0,35.0,35.0,35.0,4,4,1,True,3242,True,False,peer40,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,2.0,2.0,3.0,26.0,1.0,4.0,4.0,4.0,4.0,202528.0,1.0,73.0,73.0,73.0,73.0,8,7,1,True,3228,True,False,peer41,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,19.0,1.0,2.0,2.0,2.0,2.0,202527.0,1.0,64.0,64.0,64.0,64.0,7,7,1,True,3227,True,False,peer42,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,3.0,29.0,1.0,1.0,1.0,7.0,7.0,,1.0,60.0,60.0,60.0,60.0,5,5,1,True,3224,True,False,peer43,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,27.0,2.0,3.0,3.0,3.0,3.0,202528.0,1.0,72.0,72.0,72.0,72.0,6,5,1,True,3239,True,False,peer44,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,1.0,2.0,3.0,3.0,11.0,1.0,6.0,6.0,6.0,6.0,202528.0,1.0,,,,,14,13,0,True,3231,True,False,peer45,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,19.0,3.0,3.0,3.0,3.0,3.0,,1.0,35.0,35.0,35.0,35.0,4,4,1,True,3250,True,False,peer46,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,,1.0,,,,,3,2,0,True,3264,True,False,peer47,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,2.0,2.0,3.0,26.0,4.0,4.0,4.0,4.0,4.0,,1.0,66.0,66.0,66.0,66.0,3,3,1,True,3238,True,False,peer48,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,14.0,1.0,1.0,1.0,1.0,1.0,,1.0,26.0,26.0,26.0,26.0,4,4,1,True,3239,True,False,peer49,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,,,1,1,0,True,3382,True,False,peer5,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,20.0,2.0,2.0,2.0,2.0,3.0,202528.0,1.0,116667.0,116667.0,116667.0,116667.0,5,5,1,True,3248,True,False,peer50,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1,1,0,True,3366,True,False,peer6,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,,,1,1,0,True,3317,True,False,peer7,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,1.0,2.0,2.0,3.0,18.0,5.0,5.0,5.0,5.0,5.0,,1.0,,,,,3,2,0,True,3351,True,False,peer8,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,2.0,2.0,3.0,19.0,4.0,4.0,4.0,4.0,4.0,,1.0,,,,,1,1,0,True,3340,True,False,peer9,UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,1.0,,,,,34,34,0,True,25209,False,True,peer1,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer10,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer11,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer12,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer13,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer14,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer15,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer16,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30003,False,True,peer17,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer18,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer19,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer2,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer20,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer21,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer22,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer23,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer24,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer25,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer26,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer27,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer28,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer29,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer3,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer30,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer31,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer32,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer33,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer34,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer35,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer36,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer37,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer38,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer39,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer4,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer40,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer41,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer42,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer43,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer44,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer45,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer46,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer47,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer48,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer49,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer5,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer50,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer6,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer7,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer8,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer9,UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30003,False,True,peer1,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer10,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer11,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer12,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer13,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer14,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer15,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer16,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer17,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer18,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer19,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer2,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer20,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer21,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer22,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer23,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer24,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer25,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer26,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer27,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer28,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer29,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer3,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer30,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer31,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30003,False,True,peer32,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer33,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer34,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer35,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer36,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer37,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer38,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer39,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer4,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer40,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer41,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer42,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer43,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer44,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer45,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer46,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer47,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer48,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer49,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer5,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer50,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer6,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer7,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer8,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer9,UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer1,UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer10,UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer11,UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer12,UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30000,False,True,peer13,UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,False
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30002,False,True,peer14,UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,False
